Year,Category,Prize,Prize Share,Laureate ID,LaureateType,FullName,Birth Date,Birth City,BirthCountry,Sex,OrganizationName,Organization City,OrganizationCountry,Death Date,Death City,Death Country,Age
1903,Physics,The Nobel Prize in Physics 1903,1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,1908-08-25,,France,51
1903,Physics,The Nobel Prize in Physics 1903,1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France,44
1903,Physics,The Nobel Prize in Physics 1903,1/4,6,Individual,Marie Curienée Sklodowska,1867-11-07,Warsaw,Poland,Female,,,,1934-07-04,Sallanches,France,36
1904,Chemistry,The Nobel Prize in Chemistry 1904,1/1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom,52
1904,Literature,The Nobel Prize in Literature 1904,1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,,,,1914-03-25,Maillane,France,74
1904,Literature,The Nobel Prize in Literature 1904,1/2,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,,,,1916-09-04,Madrid,Spain,72
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,1/1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia,1936-02-27,Leningrad,Russia,55
1904,Peace,The Nobel Peace Prize 1904,1/1,467,Organization,Institut de droit international (Institute of International Law),,,,,,,,,,,#VALUE!
1904,Physics,The Nobel Prize in Physics 1904,1/1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,Langford Grove/Maldon/Essex,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,1919-06-30,,United Kingdom,62
1905,Chemistry,The Nobel Prize in Chemistry 1905,1/1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Germany,Male,Munich University,Munich,Germany,1917-08-20,Starnberg,Germany,70
1905,Literature,The Nobel Prize in Literature 1905,1/1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,,,,1916-11-15,Vevey,Switzerland,59
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,1/1,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,1910-05-27,Baden-Baden,Germany,62
1905,Peace,The Nobel Peace Prize 1905,1/1,468,Individual,Baroness Bertha Sophie Felicita von Suttnernée Countess Kinsky von Chinic und Tettau,1843-06-09,Prague,Czech,Female,,,,1914-06-21,Vienna,Austria,62
1905,Physics,The Nobel Prize in Physics 1905,1/1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany,1947-05-20,Messelhausen,Germany,43
1906,Chemistry,The Nobel Prize in Chemistry 1906,1/1,165,Individual,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907-02-20,Paris,France,54
1906,Literature,The Nobel Prize in Literature 1906,1/1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Italy,Male,,,,1907-02-16,Bologna,Italy,71
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,1/2,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy,1926-01-21,Pavia,Italy,63
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain,1934-10-17,Madrid,Spain,54
1906,Peace,The Nobel Peace Prize 1906,1/1,470,Individual,Theodore Roosevelt,1858-10-27,New YorkNY,United States,Male,,,,1919-01-06,Oyster BayNY,United States,48
1906,Physics,The Nobel Prize in Physics 1906,1/1,10,Individual,Joseph John Thomson,1856-12-18,Cheetham Hill,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1940-08-30,Cambridge,United Kingdom,50
1907,Chemistry,The Nobel Prize in Chemistry 1907,1/1,166,Individual,Eduard Buchner,1860-05-20,Munich,Germany,Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania,47
1907,Literature,The Nobel Prize in Literature 1907,1/1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,India,Male,,,,1936-01-18,London,United Kingdom,42
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,1/1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France,1922-05-18,Paris,France,62
1907,Peace,The Nobel Peace Prize 1907,1/2,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Italy,Male,,,,1918-02-10,Milan,Italy,74
1907,Peace,The Nobel Peace Prize 1907,1/2,472,Individual,Louis Renault,1843-05-21,Autun,France,Male,Sorbonne University,Paris,France,1918-02-08,Barbizon,France,64
1907,Physics,The Nobel Prize in Physics 1907,1/1,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Poland,Male,University of Chicago,IL,United States,1931-05-09,PasadenaCA,United States,55
1908,Chemistry,The Nobel Prize in Chemistry 1908,1/1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom,37
1908,Literature,The Nobel Prize in Literature 1908,1/1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,Germany,Male,,,,1926-09-14,Jena,Germany,62
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,1/2,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Ukraine,Male,Institut Pasteur,Paris,France,1916-07-15,Paris,France,63
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Poland,Male,Goettingen University,Göttingen,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany,54
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Poland,Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany,54
1908,Peace,The Nobel Peace Prize 1908,1/2,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male,,,,1916-02-20,Stockholm,Sweden,64
1908,Peace,The Nobel Peace Prize 1908,1/2,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male,,,,1922-01-22,Copenhagen,Denmark,71
1908,Physics,The Nobel Prize in Physics 1908,1/1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,1921-07-13,,,63
1909,Chemistry,The Nobel Prize in Chemistry 1909,1/1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Latvia,Male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany,56
1909,Literature,The Nobel Prize in Literature 1909,1/1,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,,,,1940-03-16,Mårbacka,Sweden,51
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,1/1,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland,1917-07-27,Berne,Switzerland,68
1909,Peace,The Nobel Peace Prize 1909,1/2,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Male,,,,1912-10-06,Lucerne,Switzerland,80
1909,Peace,The Nobel Peace Prize 1909,1/2,476,Individual,Paul Henri Benjamin Balluet d'Estournelles de ConstantBaron de Constant de Rebecque,1852-11-22,La Flèche,France,Male,,,,1924-05-15,Paris,France,57
1909,Physics,The Nobel Prize in Physics 1909,1/2,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937-07-20,Rome,Italy,35
1909,Physics,The Nobel Prize in Physics 1909,1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,France,1918-04-20,BrooklynNY,United States,59
1910,Chemistry,The Nobel Prize in Chemistry 1910,1/1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Russia,Male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany,63
1910,Literature,The Nobel Prize in Literature 1910,1/1,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Germany,Male,,,,1914-04-02,Munich,Germany,80
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,1/1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany,1927-07-05,Heidelberg,Germany,57
1910,Peace,The Nobel Peace Prize 1910,1/1,477,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,,,,,,#VALUE!
1910,Physics,The Nobel Prize in Physics 1910,1/1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1923-03-08,Amsterdam,Netherlands,73
1911,Chemistry,The Nobel Prize in Chemistry 1911,1/1,6,Individual,Marie Curienée Sklodowska,1867-11-07,Warsaw,Poland,Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44
1911,Literature,The Nobel Prize in Literature 1911,1/1,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Male,,,,1949-05-06,Nice,France,49
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,1/1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden,1930-07-28,Stockholm,Sweden,49
1911,Peace,The Nobel Peace Prize 1911,1/2,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Male,,,,1913-07-29,the Hague,Netherlands,73
1911,Peace,The Nobel Peace Prize 1911,1/2,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male,,,,1921-05-05,Vienna,Austria,47
1911,Physics,The Nobel Prize in Physics 1911,1/1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Russia,Male,Würzburg University,Würzburg,Germany,1928-08-30,Munich,Germany,47
1912,Chemistry,The Nobel Prize in Chemistry 1912,1/2,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935-12-13,Lyon,France,41
1912,Chemistry,The Nobel Prize in Chemistry 1912,1/2,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,1941-08-14,Toulouse,France,58
1912,Literature,The Nobel Prize in Literature 1912,1/1,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Germany,Male,,,,1946-06-06,Agnetendorf (Jagniatków),Poland,50
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,1/1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,New YorkNY,United States,1944-11-05,Paris,France,39
1912,Peace,The Nobel Peace Prize 1912,1/1,480,Individual,Elihu Root,1845-02-15,ClintonNY,United States,Male,,,,1937-02-07,New YorkNY,United States,67
1912,Physics,The Nobel Prize in Physics 1912,1/1,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden,1937-12-09,Stockholm,Sweden,43
1913,Chemistry,The Nobel Prize in Chemistry 1913,1/1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland,47
1913,Literature,The Nobel Prize in Literature 1913,1/1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,,,,1941-08-07,Calcutta,India,52
1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,1/1,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,Male,Sorbonne University,Paris,France,1935-12-04,Paris,France,63
1913,Peace,The Nobel Peace Prize 1913,1/1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Male,,,,1943-05-14,Brussels,Belgium,59
1913,Physics,The Nobel Prize in Physics 1913,1/1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands,1926-02-21,Leiden,Netherlands,60
1914,Chemistry,The Nobel Prize in Chemistry 1914,1/1,175,Individual,Theodore William Richards,1868-01-31,GermantownPA,United States,Male,Harvard University,CambridgeMA,United States,1928-04-02,CambridgeMA,United States,46
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,1/1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Male,Vienna University,Vienna,Austria,1936-04-08,Uppsala,Sweden,38
1914,Physics,The Nobel Prize in Physics 1914,1/1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1960-04-23,Berlin,West Germany,35
1915,Chemistry,The Nobel Prize in Chemistry 1915,1/1,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany,1942-08-03,Locarno,Switzerland,43
1915,Literature,The Nobel Prize in Literature 1915,1/1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,Male,,,,1944-12-30,Vézelay,France,49
1915,Physics,The Nobel Prize in Physics 1915,1/2,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,Male,University College,London,United Kingdom,1942-03-12,London,United Kingdom,53
1915,Physics,The Nobel Prize in Physics 1915,1/2,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom,1971-07-01,Ipswich,United Kingdom,25
1916,Literature,The Nobel Prize in Literature 1916,1/1,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Male,,,,1940-05-20,Övralid,Sweden,57
1917,Literature,The Nobel Prize in Literature 1917,1/2,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Male,,,,1919-10-11,Klotzsche,Germany,60
1917,Literature,The Nobel Prize in Literature 1917,1/2,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Male,,,,1943-08-21,Ordrup,Denmark,60
1917,Peace,The Nobel Peace Prize 1917,1/1,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,,,,,#VALUE!
1917,Physics,The Nobel Prize in Physics 1917,1/1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,1944-10-23,Edinburgh,Scotland,40
1918,Chemistry,The Nobel Prize in Chemistry 1918,1/1,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Poland,Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934-01-29,Basel,Switzerland,50
1918,Physics,The Nobel Prize in Physics 1918,1/1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Germany,Male,Berlin University,Berlin,Germany,1947-10-04,Göttingen,West Germany,60
1919,Literature,The Nobel Prize in Literature 1919,1/1,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Male,,,,1924-12-29,Lucerne,Switzerland,74
1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,1/1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Male,Brussels University,Brussels,Belgium,1961-04-06,Brussels,Belgium,49
1919,Peace,The Nobel Peace Prize 1919,1/1,483,Individual,Thomas Woodrow Wilson,1856-12-28,StauntonVA,United States,Male,,,,1924-02-03,WashingtonDC,United States,63
1919,Physics,The Nobel Prize in Physics 1919,1/1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany,1957-06-21,Traunstein,West Germany,45
1920,Chemistry,The Nobel Prize in Chemistry 1920,1/1,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Germany,Male,Berlin University,Berlin,Germany,1941-11-18,Muskau,Germany,56
1920,Literature,The Nobel Prize in Literature 1920,1/1,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Male,,,,1952-02-19,Grimstad,Norway,61
1920,Medicine,The Nobel Prize in Physiology or Medicine 1920,1/1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,Male,Copenhagen University,Copenhagen,Denmark,1949-09-13,Copenhagen,Denmark,46
1920,Peace,The Nobel Peace Prize 1920,1/1,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,Male,,,,1925-09-29,Épernay,France,69
1920,Physics,The Nobel Prize in Physics 1920,1/1,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1938-06-13,Sèvres,France,59
1921,Chemistry,The Nobel Prize in Chemistry 1921,1/1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1956-09-22,Brighton,United Kingdom,44
1921,Literature,The Nobel Prize in Literature 1921,1/1,590,Individual,Anatole France,1844-04-16,Paris,France,Male,,,,1924-10-12,Saint-Cyr-sur-Loire,France,77
1921,Peace,The Nobel Peace Prize 1921,1/2,485,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,Male,,,,1925-02-24,Stockholm,Sweden,61
1921,Peace,The Nobel Peace Prize 1921,1/2,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,Male,,,,1938-12-11,Oslo,Norway,52
1921,Physics,The Nobel Prize in Physics 1921,1/1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1955-04-18,PrincetonNJ,United States,42
1922,Chemistry,The Nobel Prize in Chemistry 1922,1/1,180,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1945-11-20,Cambridge,United Kingdom,45
1922,Literature,The Nobel Prize in Literature 1922,1/1,592,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Male,,,,1954-07-14,Madrid,Spain,56
1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,1/2,311,Individual,Archibald Vivian Hill,1886-09-26,Bristol,United Kingdom,Male,London University,London,United Kingdom,1977-06-03,Cambridge,United Kingdom,36
1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,1/2,312,Individual,Otto Fritz Meyerhof,1884-04-12,Hanover,Germany,Male,Kiel University,Kiel,Germany,1951-10-06,PhiladelphiaPA,United States,38
1922,Peace,The Nobel Peace Prize 1922,1/1,487,Individual,Fridtjof Nansen,1861-10-10,Kristiania (Oslo),Norway,Male,,,,1930-05-13,Oslo,Norway,61
1922,Physics,The Nobel Prize in Physics 1922,1/1,27,Individual,Niels Henrik David Bohr,1885-10-07,Copenhagen,Denmark,Male,Copenhagen University,Copenhagen,Denmark,1962-11-18,Copenhagen,Denmark,37
1923,Chemistry,The Nobel Prize in Chemistry 1923,1/1,181,Individual,Fritz Pregl,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Graz,Austria,1930-12-13,Graz,Austria,54
1923,Literature,The Nobel Prize in Literature 1923,1/1,593,Individual,William Butler Yeats,1865-06-13,Dublin,Ireland,Male,,,,1939-01-28,Roquebrune-Cap-Martin,France,58
1923,Medicine,The Nobel Prize in Physiology or Medicine 1923,1/2,313,Individual,Frederick Grant Banting,1891-11-14,Alliston,Canada,Male,University of Toronto,Toronto,Canada,1941-02-21,Newfoundland,Canada,32
1923,Medicine,The Nobel Prize in Physiology or Medicine 1923,1/2,314,Individual,John James Rickard Macleod,1876-09-06,Cluny,Scotland,Male,University of Toronto,Toronto,Canada,1935-03-16,Aberdeen,Scotland,47
1923,Physics,The Nobel Prize in Physics 1923,1/1,28,Individual,Robert Andrews Millikan,1868-03-22,MorrisonIL,United States,Male,California Institute of Technology (Caltech),PasadenaCA,United States,1953-12-19,San MarinoCA,United States,55
1924,Literature,The Nobel Prize in Literature 1924,1/1,594,Individual,Wladyslaw Stanislaw Reymont,1867-05-07,Kobiele Wielkie,Poland,Male,,,,1925-12-05,Warsaw,Poland,57
1924,Medicine,The Nobel Prize in Physiology or Medicine 1924,1/1,315,Individual,Willem Einthoven,1860-05-21,Semarang,JavaDutch East Indies (Indonesia),Male,Leiden University,Leiden,Netherlands,1927-09-29,Leiden,Netherlands,64
1924,Physics,The Nobel Prize in Physics 1924,1/1,29,Individual,Karl Manne Georg Siegbahn,1886-12-03,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden,1978-09-26,Ängelholm,Sweden,38
1925,Chemistry,The Nobel Prize in Chemistry 1925,1/1,182,Individual,Richard Adolf Zsigmondy,1865-04-01,Vienna,Austrian Empire (Austria),Male,Goettingen University,Göttingen,Germany,1929-09-24,Göttingen,Germany,60
1925,Literature,The Nobel Prize in Literature 1925,1/1,596,Individual,George Bernard Shaw,1856-07-26,Dublin,Ireland,Male,,,,1950-11-02,Ayot St. Lawrence,United Kingdom,69
1925,Peace,The Nobel Peace Prize 1925,1/2,488,Individual,Sir Austen Chamberlain,1863-10-16,Birmingham,United Kingdom,Male,,,,1937-03-16,London,United Kingdom,62
1925,Peace,The Nobel Peace Prize 1925,1/2,489,Individual,Charles Gates Dawes,1865-08-27,MariettaOH,United States,Male,,,,1951-04-23,EvanstonIL,United States,60
1925,Physics,The Nobel Prize in Physics 1925,1/2,30,Individual,James Franck,1882-08-26,Hamburg,Germany,Male,Goettingen University,Göttingen,Germany,1964-05-21,Göttingen,West Germany,43
1925,Physics,The Nobel Prize in Physics 1925,1/2,31,Individual,Gustav Ludwig Hertz,1887-07-22,Hamburg,Germany,Male,Halle University,Halle,Germany,1975-10-30,Berlin,East Germany,38
1926,Chemistry,The Nobel Prize in Chemistry 1926,1/1,183,Individual,The (Theodor) Svedberg,1884-08-30,Fleräng,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-02-25,Örebro,Sweden,42
1926,Literature,The Nobel Prize in Literature 1926,1/1,597,Individual,Grazia Deledda,1871-09-27,NuoroSardinia,Italy,Female,,,,1936-08-15,Rome,Italy,55
1926,Medicine,The Nobel Prize in Physiology or Medicine 1926,1/1,316,Individual,Johannes Andreas Grib Fibiger,1867-04-23,Silkeborg,Denmark,Male,Copenhagen University,Copenhagen,Denmark,1928-01-30,Copenhagen,Denmark,59
1926,Peace,The Nobel Peace Prize 1926,1/2,490,Individual,Aristide Briand,1862-03-28,Nantes,France,Male,,,,1932-03-07,Paris,France,64
1926,Peace,The Nobel Peace Prize 1926,1/2,491,Individual,Gustav Stresemann,1878-05-10,Berlin,Germany,Male,,,,1929-10-03,Berlin,Germany,48
1926,Physics,The Nobel Prize in Physics 1926,1/1,32,Individual,Jean Baptiste Perrin,1870-09-30,Lille,France,Male,Sorbonne University,Paris,France,1942-04-17,New YorkNY,United States,56
1927,Chemistry,The Nobel Prize in Chemistry 1927,1/1,184,Individual,Heinrich Otto Wieland,1877-06-04,Pforzheim,Germany,Male,Munich University,Munich,Germany,1957-08-05,Munich,West Germany,50
1927,Literature,The Nobel Prize in Literature 1927,1/1,600,Individual,Henri Bergson,1859-10-18,Paris,France,Male,,,,1941-01-04,Paris,France,68
1927,Medicine,The Nobel Prize in Physiology or Medicine 1927,1/1,317,Individual,Julius Wagner-Jauregg,1857-03-07,Wels,Austria,Male,Vienna University,Vienna,Austria,1940-09-27,Vienna,Austria,70
1927,Peace,The Nobel Peace Prize 1927,1/2,492,Individual,Ferdinand Buisson,1841-12-20,Paris,France,Male,,,,1932-02-16,Thieuloy-Saint-Antoine,France,86
